text,target,prediction
@ adnan _ _ 786 _ _ @ asyounotwish dont worry indian army is on its ways to dispatch all terrorists to hell,"anger,anticipation,optimism,trust",fear
"academy of sciences, eschews the normally sober tone of scientific papers and calls the massive loss of wildlife a “ biological annihilation",disgust,
i blew that opportunity - _ _ - # mad,"anger,disgust,sadness",anger
this time in 2 weeks i will be 30... : sad _ but _ relieved _ face :,"joy,sadness",sadness
# deppression is real. partners w / # depressed people truly dont understand the depth in which they affect us. add in # anxiety & amp ; makes it worse,"fear,sadness",fear
"@ politicoeurope interesting choice of words... are you confirming that governments fund # terrorism? bit of an open door, but still...","anger,disgust,fear,pessimism",
"@ ananavarro cnn should, for sure : grinning _ face :","joy,optimism",joy
distance yourself once stretched by your friends impose! # serious # loveyou # notseriously,love,joy
be happy. be confident. be kind. # kissableslovesmshopmag alloutdenimfor kissmarc,"joy,optimism",joy
my visit to hospital for care triggered # trauma from accident 20 + yrs ago and image of my dead brother in it. feeling symptoms of # depression,sadness,sadness
thanks to dollis hill's relentless and tenacious pc leach and colleagues!,"joy,optimism",optimism
@ xxbambsxx @ originalfunko @ ashwillbradley @ elliewhitt123 i've retweeted and followed # good luck @ ashwillbradley @ originalfunko,"anticipation,joy,optimism",joy
@ mpsnutrition welcome to # mpsvt! we are delighted to have you! # grateful # mpsvt # relationships,"joy,love",joy
what makes you feel # joyful?,joy,joy
"bitter afternoon, no sweetness at all # lenovo","anger,disgust,pessimism,sadness",sadness
some people just need to learn how to # smile : beaming _ face _ with _ smiling _ eyes : and # laugh : face _ with _ tears _ of _ joy : : face _ with _ tears _ of _ joy : # live # life,"joy,love,optimism",joy
we are all in this together and we # sink together or we # swim together,"anticipation,joy,optimism",joy
life will be more # beautiful when you start seeing things differently.,"anticipation,joy,love,optimism",joy
i am revolting.,"anger,disgust",anger
"rin might ever appeared gloomy but to be a melodramatic person was not her thing. but honestly, she missed her old friend. the special one.",sadness,sadness
"wow, i really can't believe four years already went by. four years. jeez. we miss you big guy # 4yearswithoutcory # corymonteith # glee","joy,sadness,surprise",joy
@ rtenews... middle class may sink without further struggles into the working class where we belong... george orwell 1903 - 1950,"anger,disgust,pessimism,sadness",sadness
remember watching a talk show for class 1 day about the charlie hebdo aftermath.. guests had a lively debate over religion / free speech.. 4 / x,"joy,optimism",
all i can hear from the other room in my house is my brothers very seriously discussing the changes that need to be made to the,,
@ aanworislam59 happy birthday # beautiful pussy,"joy,love,optimism",joy
in need of a change! # restless,"fear,sadness",fear
@ shadgandel i'm glad that despite my weeks of being mia we can still talk about the most idiotic shit turn around bright eyes,"anger,joy",joy
@ mattsamatt @ jasonosia # cmbyn does screen august 4 & amp ; 6 at # miff,"anticipation,sadness",joy
@ fs1 get donovan out of your soccer booth. he's awful. he's bitter. he makes me want to mute the tv. # horrid,"anger,disgust",anger
@ pubattlegrounds how can u have sold so many copies but ur game has so many fucking bugs and mad lag issues. optimize ur shit soon.,"anger,disgust",anger
sadly i do not have a garden so i watch just for nigel and nellie # beautiful # gardenersworld,"anticipation,joy,optimism,sadness",joy
pressured. : frowning _ face _ with _ open _ mouth :,"disgust,fear,sadness",
yes # depression & amp ; # anxiety are real but so is bein # grateful & amp ; # happiness i choose how i wanna live my life not some disorder,"disgust,fear,sadness",optimism
"people who say nmu are the worst, something has to be going on, tell me i wanna know bout your life that's why i fucking asked, i care : face _ with _ steam _ from _ nose :",anger,anger
"@ richardtburnett the hatred from the left ought to concern everyone - - - - who wants a police state - the left, so than can spy on all of us.","anger,disgust",anger
@ agt # shocking loss of talented young man # prayers # pray for his family,"fear,love,sadness",sadness
its # amazing watching various news outlets showing mixed crowds of ppl watching # eclipse with no # racial tension.. # msm can't hide this!,joy,
"that moment when people say you don't need medicine, it's mind over matter. you need to stop doing that. # bipolar","anger,disgust",sadness
im back lol # revenge,"anger,joy",anger
@ wine _ mum _ @ bob _ lawblaw please. don't insult goths.,"anger,disgust,fear",anger
@ bb19rewind what an f'ing liar,"anger,disgust",anger
@ hitrecordjoe rectify : a man must rediscover life after being released from death row for a crime he may / may not have committed. # brilliant,"joy,optimism",optimism
may or may not have just pulled the legal card on these folks. # irritated,"anger,disgust",anger
if i'm talking about the asian world. club life. i'd probably say i might resent dorks. or like less popular. i don't know the word.,"anticipation,disgust,surprise",
"me :'i miss your personality, will it come back?'him :'i'm sorry. i'm me. you be you.'# sad # depressed # longdistancerelationship",sadness,sadness
comparing yourself to others is one of the root causes for feelings of unhappiness and depression.,sadness,sadness
@ chelseyyh hope your first shift back isn't too grim chicken x,"anger,optimism",joy
"@ arnews1936 @ kdsats72 americans do not spank their children, and they are a god fearing people who knows the biggest sin is hypocrisy.","fear,optimism,trust",anger
"@ breakoutedu, @ goosechase, pirate style witnessed across the district! @ burgessdave # backtoschool # engaged # tlap # leadlap # genoastrong",anticipation,
the only upside to being deathly ill this week is that i've gotten better at taking pills. # optimism,optimism,optimism
"and you start to think that your new found home will be yours forever, with no threat in sight, until something or someone comes along...","fear,pessimism",optimism
i'm gonna start crying and i can't fuck,"anger,sadness",sadness
"fear not @ lisajnc1951, god is with you, don't be discouraged, for he is your god, he strengthens and helps you at all time. is 41 : 10","joy,optimism",optimism
favorite character who's name starts with the letter m? # prisonbreak5 # the100 # greysanatomy,"anticipation,joy",disgust
"the bathroom sink just spat a spider at me. i turned on the faucet, and a sizable spider flew up out of the drain. # spiders # fb","disgust,fear,surprise",
today's eclipse was a warm fuzzy for the entire country. a giant group hug : red _ heart : : smiling _ face _ with _ sunglasses : : two _ hearts : # eclipsesolar2017 # repair # smiles,"joy,love,optimism",joy
i'm so nervous i could puke + my body temp is rising ha ha ha ha ha,"fear,joy",fear
@ julyxnthegreat i hope so too....,"fear,optimism,pessimism,sadness",joy
i cannot see a rational way of bearing a grudge to him for that. i do not. maybe because i do not live by netflix and i do not care...,"anger,disgust",anger
and let the depression take the stage once more : upsidedown _ face :,"pessimism,sadness",sadness
i love swimming for the same reason i love meditating... the feeling of weightlessness.,"joy,love",joy
@ leamichele we miss you all with you lea : red _ heart : : two _ hearts : # glee,"joy,love,sadness",joy
@ autobant is it just me that thinks it looks boring?,"disgust,pessimism,sadness",
",, the solar eclipse was really cool.. # inspiring!",joy,joy
@ monarch really??? i've had to hang up!,"anger,disgust",sadness
i would start my process now but i'm too busy enjoying this self hatred wave i'm on,"anger,disgust,fear,pessimism,sadness",
when jim sheridan is standing next to you and you don't say a word!!! # facepalm # tonguetied,"anger,disgust",anger
"@ audaciousbrute _ - - can handle myself. [ carl yelled back in fury, blood smeared across his face and clothes. still holding onto his - -",anger,anger
@ shedboy23 @ fhathast _ tha there was a fair bit of raging folk last night... something to do with pension day?,anger,anger
"@ realdonaldtrump no # racism, no # hatred, no # sectarianism... only yes to love","love,optimism,trust",anger
@ plumremson sorry to offend. just using some different levels of communications. i hear memes are popular in your circles.,anticipation,
irate because i broke my arm and had to sit out during the games 2017 - 07 - 11 17 : 46 : 15. 109 ; two wrongs dont make a right,"anger,sadness",anger
sleep is and will always be one of the best remedies for a tired and weary soul,"anticipation,optimism",optimism
"@ topshop where is my order? placed on monday via express delivery, yet no sign!!! # annoyed # hurryup your customer service queues are # awful","anger,disgust",anger
yukwon no video do zico the world is shaking,"fear,sadness",fear
obama and biden would have watched the # eclipse2017 together and pete would have shared an awesome photo of them in their glasses. # cry,"anger,anticipation,disgust,pessimism,sadness",joy
"but, i have offended so many people with the idea that conflicts and value judgments are separate that we need to have a talk.","disgust,optimism",anger
tweet at me some cool # madden clips u got,"joy,optimism",joy
any girl want a load? ; ) dm me # horny # cum # snap # dmme # cumtribute # cocktribute,anticipation,joy
@ sandraoldfield i love the comics! # hilarious,"joy,optimism,surprise",joy
"still no word yet, on wether i still have a job at the hospital i work at. deletion notices come out soon. # stressful # upsetting","anger,fear,sadness",sadness
"there's no one right way to live life but : be kind, be genuine, be honest, be open. # love yourself & amp ; # laugh often. # mindfulness @ healingmb","joy,love,optimism",joy
"' if you really want something and you do nothing about it, you have no right to pout around if you don't get it. kasi'di ba you did nothing? '","anger,anticipation,disgust,optimism",anger
i need to start doing something with myself. # lazy,"disgust,optimism,pessimism,sadness",sadness
@ bell - spelled exactly how it makes you feel'better eat land line '. talking to my mom this week has been impossible. # goodservice # rage,"anger,disgust",anger
"@ 20committee john, what do you make of djt's silence? he would usually be foaming at the mouth right now. maybe he's constipated.","anger,anticipation",
only in # whitehorse do you see a hubcap going down 2nd ave all by itself # yukontumbleweed # yukon,"surprise,trust",
@ alibenzkr @ floatingboat memento ending : grinning _ face _ with _ smiling _ eyes :,"joy,optimism",joy
@ muqryyy happy birthday machaaaa : balloon : : party _ popper : : confetti _ ball : stay awesome and murah rezeki selalu : thumbs _ up _ light _ skin _ tone :,"joy,love",joy
